Neena,Kochhar,neena.kochhar@el.cool,Manchester,New Hampshire
Bruce,Ernst,lex.de haan@el.cool,Houston,Texas
David,Austin,alexander.hunold@el.cool,Alexandria,Virginia
Valli,Pataballa,bruce.ernst@el.cool,El Paso,Texas
Diana,Lorentz,david.austin@el.cool,Houston,Texas
Nancy,Greenberg,valli.pataballa@el.cool,Las Cruces,New Mexico
Daniel,Faviet,diana.lorentz@el.cool,Amarillo,Texas
John,Chen,nancy.greenberg@el.cool,Roanoke,Virginia
Ismael,Sciarra,daniel.faviet@el.cool,Mesquite,Texas
Luis,Popp,john.chen@el.cool,Lynn,Massachusetts
Den,Raphaely,ismael.sciarra@el.cool,Garland,Texas
Shelli,Baida,jose manuel.urman@el.cool,Wichita,Kansas
Sigal,Tobias,luis.popp@el.cool,Phoenix,Arizona
Guy,Himuro,den.raphaely@el.cool,Seattle,Washington
Karen,Colmenares,alexander.khoo@el.cool,Bloomington,Indiana
Matthew,Weiss,shelli.baida@el.cool,Oklahoma City,Oklahoma
Adam,Fripp,sigal.tobias@el.cool,Jacksonville,Florida
Payam,Kaufling,guy.himuro@el.cool,Louisville,Kentucky
Shanta,Vollman,karen.colmenares@el.cool,Monticello,Minnesota
